MSA_NUM,MSA_NAME,EDU_TOTAL,EDU_10,EDU_12,EDU_14,EDU_16
25980,"Hinesville-Fort Stewart, GA Metro Area",39673,3827,12801,15769,7276
26020,"Hobbs, NM Micro Area",32420,9126,10146,9237,3911
26100,"Holland-Grand Haven, MI Metro Area",132225,8828,38135,43849,41413
26140,"Homosassa Springs, FL Micro Area",64534,7487,24310,22152,10585
26180,"Honolulu, HI Metro Area",511618,35184,127123,178149,171162
26220,"Hood River, OR Micro Area",12192,2289,2832,3619,3452
26260,"Hope, AR Micro Area",15635,2837,5385,5074,2339
26300,"Hot Springs, AR Metro Area",48408,5716,15398,17431,9863
26340,"Houghton, MI Micro Area",17185,965,5288,5632,5300
26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",109799,25492,43471,25061,15775
26420,"Houston-Sugar Land-Baytown, TX Metro Area",3277044,600967,764384,942693,969000
26460,"Hudson, NY Micro Area",33696,3425,9844,11010,9417
26480,"Humboldt, TN Micro Area",25512,2874,10004,8555,4079
26500,"Huntingdon, PA Micro Area",24799,2238,12637,6117,3807
26540,"Huntington, IN Micro Area",19155,1777,7484,6230,3664
26580,"Huntington-Ashland, WV-KY-OH Metro Area",151096,18144,56205,46295,30452
26620,"Huntsville, AL Metro Area",231113,24113,51873,71698,83429
26660,"Huntsville, TX Micro Area",36909,6458,12845,11700,5906
26740,"Hutchinson, KS Micro Area",32407,3369,8013,14312,6713
26780,"Hutchinson, MN Micro Area",18885,1136,6030,7532,4187
26820,"Idaho Falls, ID Metro Area",64264,5758,16786,24726,16994
26860,"Indiana, PA Micro Area",42576,3236,18077,10558,10705
26900,"Indianapolis-Carmel, IN Metro Area",961723,97643,263815,278727,321538
26940,"Indianola, MS Micro Area",15173,4360,4299,4515,1999
26980,"Iowa City, IA Metro Area",77949,3920,13698,21624,38707
27020,"Iron Mountain, MI-WI Micro Area",16609,784,6126,5986,3713
27060,"Ithaca, NY Metro Area",46802,2406,7410,12027,24959
27100,"Jackson, MI Metro Area",85513,7349,28320,33029,16815
